,IP.G2111.S Oil and gas extraction  NAICS=211,IP.G2122.S Metal ore mining  NAICS=2122,IP.G2123.S Nonmetallic mineral mining and quarrying  NAICS=2123,IP.G2131.S Support activities for mining  NAICS=213,IP.G311.S Food  NAICS=311,IP.G312.S Beverage and tobacco product  NAICS=312,IP.G313.S Textile mills  NAICS=313,IP.G314.S Textile product mills  NAICS=314,IP.G315.S Apparel  NAICS=315,IP.G316.S Leather and allied product  NAICS=316,IP.G321.S Wood product  NAICS=321,IP.G322.S Paper  NAICS=322,IP.G323.S Printing and related support activities  NAICS=323,IP.G324.S Petroleum and coal products  NAICS=324,IP.G325.S Chemical  NAICS=325,IP.G326.S Plastics and rubber products  NAICS=326,IP.G327.S Nonmetallic mineral product  NAICS=327,IP.G331.S Primary metal  NAICS=331,IP.G332.S Fabricated metal product  NAICS=332,IP.G333.S Machinery  NAICS=333,IP.G334.S Computer and electronic product  NAICS=334,"IP.G335.S Electrical equipment, appliance, and component  NAICS=335",IP.G336.S Transportation equipment  NAICS=336,IP.G337.S Furniture and related product  NAICS=337,IP.G339.S Miscellaneous  NAICS=339,IP.N2121.S Coal mining  NAICS=2121,RIW.G2111.S ,RIW.G2122.S ,RIW.G2123.S ,RIW.G2131.S ,RIW.G311.S ,RIW.G312.S ,RIW.G313.S ,RIW.G314.S ,RIW.G315.S ,RIW.G316.S ,RIW.G321.S ,RIW.G322.S ,RIW.G323.S ,RIW.G324.S ,RIW.G325.S ,RIW.G326.S ,RIW.G327.S ,RIW.G331.S ,RIW.G332.S ,RIW.G333.S ,RIW.G334.S ,RIW.G335.S ,RIW.G336.S ,RIW.G337.S ,RIW.G339.S ,RIW.N2121.S 
1/1/1973,78.978735,76.227912,79.815455,150.326384,53.535016,88.86489,201.27849,129.864578,703.333791,509.550833,84.669375,82.987506,68.139403,63.403086,54.856688,41.408479,87.691037,139.972046,75.863783,69.573169,0.480759,88.214428,46.656612,75.74625,42.994931,92.12355,0.034041,0.006316,0.006252,0.005392,0.073936,0.018653,0.021485,0.007995,0.02996,0.007136,0.022201,0.031032,0.019932,0.016133,0.08215,0.029083,0.027252,0.055875,0.06681,0.084383,0.052464,0.032663,0.116056,0.016076,0.022911,0.008688
2/1/1973,79.670916,78.074087,80.433596,142.083926,53.40063,92.310536,203.565784,133.955692,728.7577,506.206833,85.114475,84.288499,68.072215,63.231529,55.695278,42.184782,90.143393,142.636092,77.037123,70.93731,0.491304,87.961812,47.818516,77.664326,43.200806,91.116039,0.033736,0.006485,0.006186,0.004999,0.073173,0.019011,0.021586,0.008157,0.030582,0.006984,0.022325,0.031083,0.019599,0.016194,0.081982,0.029137,0.027578,0.05599,0.066763,0.084557,0.052653,0.031979,0.117068,0.016251,0.022694,0.008513
3/1/1973,78.592968,77.522577,83.090899,137.022476,52.803831,93.284638,201.588495,134.867297,739.933027,510.598418,84.437648,84.245681,69.41294,62.202497,55.51388,42.73047,91.817682,142.550162,77.34732,71.738357,0.49216,89.502115,47.571505,77.745057,43.018316,89.985756,0.033157,0.006548,0.006364,0.004796,0.072788,0.019116,0.021537,0.008239,0.031027,0.007039,0.022465,0.031073,0.01995,0.016256,0.081456,0.029438,0.028047,0.055805,0.066902,0.085235,0.05253,0.032402,0.116253,0.016268,0.022595,0.008447
4/1/1973,78.662924,77.810878,85.309143,130.048588,52.380801,91.819546,199.70424,133.3807,731.943832,509.776332,81.687849,85.050944,69.720055,61.886044,55.915614,42.629047,91.935436,141.009775,77.557436,72.367611,0.491929,88.906665,47.657896,77.431039,42.849526,88.290262,0.033125,0.006697,0.006518,0.004537,0.072748,0.018756,0.021537,0.00819,0.030726,0.007035,0.022082,0.031434,0.02004,0.016532,0.081938,0.029346,0.028093,0.055153,0.067079,0.085866,0.052384,0.032109,0.116472,0.016234,0.022545,0.008343
5/1/1973,78.891114,78.289643,85.786428,133.73906,53.676351,92.944531,196.376227,133.347799,723.860186,503.641753,80.204228,85.620269,70.368781,61.704301,56.216853,42.198658,92.095568,144.788407,78.187321,73.363537,0.49941,89.44604,47.695356,76.7417,42.811712,88.572273,0.032893,0.006803,0.006488,0.004613,0.074543,0.018773,0.021204,0.008164,0.030179,0.006903,0.021845,0.031453,0.020067,0.016704,0.081609,0.028795,0.027926,0.056118,0.067078,0.086232,0.052629,0.031968,0.115632,0.015991,0.022383,0.008357
6/1/1973,78.830885,79.877107,87.011259,139.522729,52.593635,91.177935,196.009408,131.831207,720.572802,506.255335,80.718914,84.304762,70.880979,61.768983,55.941695,41.60983,92.101006,144.155514,78.376253,73.51829,0.517519,90.19201,48.11548,77.686788,42.403428,86.753476,0.033159,0.007036,0.006568,0.004833,0.073235,0.018293,0.021248,0.008084,0.029977,0.00692,0.022104,0.030993,0.020166,0.016968,0.080983,0.028315,0.027813,0.055908,0.067153,0.08603,0.054105,0.03209,0.116103,0.016166,0.022139,0.008311
7/1/1973,78.843745,81.957285,87.586349,143.080081,52.321508,92.04451,194.469939,131.67073,702.597861,507.172063,80.267097,84.58867,72.466226,60.960688,56.376112,42.539459,92.684536,147.026868,78.802014,74.496097,0.507079,91.525816,48.599043,77.209727,42.738505,93.321605,0.034315,0.007281,0.00662,0.005074,0.0725,0.018256,0.02099,0.00805,0.02905,0.006881,0.021698,0.031134,0.020523,0.016816,0.0814,0.028834,0.027691,0.057444,0.06746,0.086475,0.052122,0.032373,0.115897,0.015984,0.022206,0.009272
8/1/1973,78.83496,78.857656,86.322861,146.536791,51.53895,93.406251,193.070646,131.230203,710.727592,502.280618,80.432805,85.04892,72.519793,61.229178,56.839186,41.85008,92.298657,148.394904,78.526014,75.000359,0.527133,89.926613,46.842891,77.081642,42.69199,96.857751,0.0361,0.00709,0.006584,0.005397,0.071245,0.018385,0.020788,0.008031,0.02933,0.006788,0.02139,0.031542,0.020551,0.016972,0.082365,0.028421,0.027361,0.058953,0.067605,0.086751,0.053351,0.031802,0.110716,0.015944,0.022174,0.010125
9/1/1973,78.202414,79.874859,87.550007,150.357619,52.269353,94.857962,192.240322,131.643807,703.739843,502.251428,81.50374,85.209786,72.548688,61.495137,56.750423,42.059209,92.27501,147.97279,78.645042,75.652422,0.528965,91.945507,48.615168,76.731108,42.596059,90.807139,0.037183,0.007195,0.006677,0.005685,0.07146,0.018361,0.020461,0.007992,0.028725,0.006702,0.021131,0.031541,0.020385,0.016968,0.081766,0.028354,0.026898,0.059175,0.067459,0.086413,0.052243,0.032207,0.112843,0.015714,0.021915,0.009857
10/1/1973,78.457981,79.522473,86.071933,155.091702,53.193695,94.139383,193.077766,129.408959,702.019197,501.919075,80.329058,86.171322,73.01588,63.565942,58.300236,41.935262,92.217329,149.563933,79.177812,76.399043,0.54062,92.875761,48.974491,76.555518,42.645647,91.311802,0.038616,0.007177,0.006565,0.006008,0.071863,0.017929,0.020317,0.007794,0.028349,0.006613,0.020307,0.031834,0.020346,0.017456,0.0835,0.028067,0.026442,0.060177,0.067667,0.086202,0.052112,0.032231,0.111674,0.015526,0.021735,0.010261
